Project Key,Issue Id,Parent Id,Issue Type,Summary,Description,Priority,Status,Epic Link,Labels,Sprint
BWC,E25,,Epic,CI/CD,"Epic from Knowledge Base product backlog structure: CI/CD.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",Medium,To Do,,"bwc,solo-scrum,epic,e25",
BWC,E26,,Epic,Production deployment,"Epic from Knowledge Base product backlog structure: Production deployment.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",Highest,To Do,,"bwc,solo-scrum,epic,e26",
BWC,E27,,Epic,Documentation and university report,"Epic from Knowledge Base product backlog structure: Documentation and university report.

Groups work required to deliver the Bayer-Westphalian Campaign Management Platform.",Medium,To Do,,"bwc,solo-scrum,epic,e27",
BWC,US-001,E06,Story,Authentication: log in securely so that I can access the platform,"High-level product backlog story from the Knowledge Base.

As an internal user, I want to log in securely so that I can access the platform

Sprint: Sprint 3 — Authentication, Users, Roles, and Access Control

Sprint Goal: Implement secure employee login and role-based access control.",Highest,To Do,"Authentication, users, and roles","bwc,solo-scrum,sprint-03,e06,authentication-and-roles,story","Sprint 3 — Authentication, Users, Roles, and Access Control"
BWC,US-002,E06,Story,Authorization: assign roles so users only access allowed features,"High-level product backlog story from the Knowledge Base.

As an Admin, I want to assign roles so users only access allowed features

Sprint: Sprint 3 — Authentication, Users, Roles, and Access Control

Sprint Goal: Implement secure employee login and role-based access control.",Highest,To Do,"Authentication, users, and roles","bwc,solo-scrum,sprint-03,e06,authentication-and-roles,story","Sprint 3 — Authentication, Users, Roles, and Access Control"
BWC,US-003,E07,Story,Customer management: update customer records so that data remains accurate,"High-level product backlog story from the Knowledge Base.

As a Customer Service Agent, I want to update customer records so that data remains accurate

Sprint: Sprint 4 — Customer, Prospect, and Beneficiary Management

Sprint Goal: Build the CRM foundation for customers, prospects, and beneficiaries.",High,To Do,Customer and prospect management,"bwc,solo-scrum,sprint-04,e07,customers,story","Sprint 4 — Customer, Prospect, and Beneficiary Management"
BWC,US-004,E07,Story,Customer search: search customers so I can find campaign targets,"High-level product backlog story from the Knowledge Base.

As a Campaign Manager, I want to search customers so I can find campaign targets

Sprint: Sprint 4 — Customer, Prospect, and Beneficiary Management

Sprint Goal: Build the CRM foundation for customers, prospects, and beneficiaries.",High,To Do,Customer and prospect management,"bwc,solo-scrum,sprint-04,e07,customers,story","Sprint 4 — Customer, Prospect, and Beneficiary Management"
BWC,US-005,E09,Story,Consent: review consent so marketing respects legal rules,"High-level product backlog story from the Knowledge Base.

As a Compliance Officer, I want to review consent so marketing respects legal rules

Sprint: Sprint 5 — Consent, Opt-Out, Do-Not-Contact, and Eligibility

Sprint Goal: Implement compliance-critical consent logic before campaign features.",Highest,To Do,"Consent, opt-out, and eligibility","bwc,solo-scrum,sprint-05,e09,consent-and-eligibility,story","Sprint 5 — Consent, Opt-Out, Do-Not-Contact, and Eligibility"
BWC,US-006,E09,Story,Eligibility: ineligible contacts excluded automatically,"High-level product backlog story from the Knowledge Base.

As a Campaign Manager, I want ineligible contacts excluded automatically

Sprint: Sprint 5 — Consent, Opt-Out, Do-Not-Contact, and Eligibility

Sprint Goal: Implement compliance-critical consent logic before campaign features.",Highest,To Do,"Consent, opt-out, and eligibility","bwc,solo-scrum,sprint-05,e09,consent-and-eligibility,story","Sprint 5 — Consent, Opt-Out, Do-Not-Contact, and Eligibility"
BWC,US-007,E10,Story,Products: manage products so campaigns promote correct offers,"High-level product backlog story from the Knowledge Base.

As a Product Manager, I want to manage products so campaigns promote correct offers

Sprint: Sprint 6 — Product, Product Ownership, Product Change Requests, and Payments

Sprint Goal: Implement the product and policy-related data required for campaign targeting and reminders.",High,To Do,Product management,"bwc,solo-scrum,sprint-06,e10,products,story","Sprint 6 — Product, Product Ownership, Product Change Requests, and Payments"
BWC,US-008,E12,Story,Segmentation: create audience segments so targeting is precise,"High-level product backlog story from the Knowledge Base.

As a Campaign Manager, I want to create audience segments so targeting is precise

Sprint: Sprint 7 — Segmentation Engine

Sprint Goal: Build the audience segmentation engine and preview logic.",High,To Do,Segmentation,"bwc,solo-scrum,sprint-07,e12,segmentation,story",Sprint 7 — Segmentation Engine
BWC,US-009,E13,Story,Campaigns: create and submit campaigns,"High-level product backlog story from the Knowledge Base.

As a Campaign Manager, I want to create and submit campaigns

Sprint: Sprint 8 — Campaign Builder and Campaign Lifecycle

Sprint Goal: Implement the complete campaign draft, editing, submission, and review workflow.",High,To Do,Campaign management,"bwc,solo-scrum,sprint-08,e13,campaigns,story",Sprint 8 — Campaign Builder and Campaign Lifecycle
BWC,US-010,E14,Story,Compliance review: approve campaigns before launch,"High-level product backlog story from the Knowledge Base.

As a Compliance Officer, I want to approve campaigns before launch

Sprint: Sprint 8 — Campaign Builder and Campaign Lifecycle

Sprint Goal: Implement the complete campaign draft, editing, submission, and review workflow.",Highest,To Do,Compliance review,"bwc,solo-scrum,sprint-08,e14,compliance-review,story",Sprint 8 — Campaign Builder and Campaign Lifecycle
BWC,US-011,E16,Story,Communication: record contact outcomes,"High-level product backlog story from the Knowledge Base.

As a Customer Service Agent, I want to record contact outcomes

Sprint: Sprint 10 — Communication Tracking and Provider Adapters

Sprint Goal: Implement contact events and replaceable communication provider architecture.",High,To Do,Communication tracking,"bwc,solo-scrum,sprint-10,e16,communication-tracking,story",Sprint 10 — Communication Tracking and Provider Adapters
BWC,US-012,E17,Story,Follow-up: follow up with interested prospects,"High-level product backlog story from the Knowledge Base.

As a Sales Agent, I want to follow up with interested prospects

Sprint: Sprint 11 — Follow-Up Tasks and Reminder Scheduling

Sprint Goal: Implement follow-up workflows, payment reminders, and product-expiration reminders.",Medium,To Do,Follow-up management,"bwc,solo-scrum,sprint-11,e17,follow-up,story",Sprint 11 — Follow-Up Tasks and Reminder Scheduling
BWC,US-013,E18,Story,Reminders: schedule payment and expiration reminders,"High-level product backlog story from the Knowledge Base.

As a Campaign Manager, I want to schedule payment and expiration reminders

Sprint: Sprint 11 — Follow-Up Tasks and Reminder Scheduling

Sprint Goal: Implement follow-up workflows, payment reminders, and product-expiration reminders.",High,To Do,Reminder scheduling,"bwc,solo-scrum,sprint-11,e18,reminders,story",Sprint 11 — Follow-Up Tasks and Reminder Scheduling
BWC,US-014,E19,Story,Analytics: evaluate campaign performance,"High-level product backlog story from the Knowledge Base.

As a BI Analyst, I want to evaluate campaign performance

Sprint: Sprint 12 — Analytics and Reports

Sprint Goal: Implement business dashboards, campaign metrics, and report exports.",High,To Do,Analytics,"bwc,solo-scrum,sprint-12,e19,analytics,story",Sprint 12 — Analytics and Reports
BWC,US-015,E20,Story,Reports: view ROI and campaign summaries,"High-level product backlog story from the Knowledge Base.

As an Executive, I want to view ROI and campaign summaries

Sprint: Sprint 12 — Analytics and Reports

Sprint Goal: Implement business dashboards, campaign metrics, and report exports.",High,To Do,Reports,"bwc,solo-scrum,sprint-12,e20,reports,story",Sprint 12 — Analytics and Reports
BWC,US-016,E22,Story,Audit: review sensitive system actions,"High-level product backlog story from the Knowledge Base.

As an Auditor, I want to review sensitive system actions

Sprint: Sprint 14 — Audit Logging, Security Hardening, and System Settings

Sprint Goal: Harden the system for production readiness and accountability.",Highest,To Do,Audit logging,"bwc,solo-scrum,sprint-14,e22,audit-logging,story","Sprint 14 — Audit Logging, Security Hardening, and System Settings"
BWC,US-017,E21,Story,AI: suggestions to improve targeting and messaging,"High-level product backlog story from the Knowledge Base.

As a Campaign Manager, I want AI suggestions to improve targeting and messaging

Sprint: Sprint 13 — AI-Assisted Features

Sprint Goal: Implement AI-assisted decision support without allowing AI to make final legal or marketing decisions.",High,To Do,AI-assisted features,"bwc,solo-scrum,sprint-13,e21,ai,story",Sprint 13 — AI-Assisted Features
BWC,SCRUM-S01,E01,Task,"Scrum ceremonies — Sprint 1 — Repository, Tooling, and Architecture Foundation","Sprint Goal: Create the technical foundation for full-stack development and production deployment.

Production Gate: The repository must be clean, reproducible, and runnable by another developer from documented steps.

Sprint Review: Demonstrate frontend, backend, and database running locally.

Sprint Retrospective: Record setup problems, missing dependencies, and improvements for developer workflow.

Ceremonies: Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective.",Medium,To Do,Agile planning and product documentation,"bwc,solo-scrum,sprint-01,e01,agile-planning,scrum-ceremony","Sprint 1 — Repository, Tooling, and Architecture Foundation"
BWC,SCRUM-S02,E01,Task,Scrum ceremonies — Sprint 2 — Database Schema and Backend Foundation,"Sprint Goal: Implement the core database schema and backend structure based on the KB data model.

Production Gate: Database must be version-controlled through migrations. Manual database changes are not allowed.

Sprint Review: Demonstrate database migration from empty database to working schema.

Sprint Retrospective: Record schema risks and any required corrections before adding business modules.

Ceremonies: Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective.",Medium,To Do,Agile planning and product documentation,"bwc,solo-scrum,sprint-02,e01,agile-planning,scrum-ceremony",Sprint 2 — Database Schema and Backend Foundation
BWC,SCRUM-S03,E01,Task,"Scrum ceremonies — Sprint 3 — Authentication, Users, Roles, and Access Control","Sprint Goal: Implement secure employee login and role-based access control.

Production Gate: No protected resource may be accessible without authentication and correct role authorization.

Sprint Review: Demonstrate login as Admin, Campaign Manager, BI Analyst, Product Manager, Compliance Officer, and Customer Service Agent.

Sprint Retrospective: Record authorization gaps and improve role-check consistency.

Ceremonies: Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective.",Medium,To Do,Agile planning and product documentation,"bwc,solo-scrum,sprint-03,e01,agile-planning,scrum-ceremony","Sprint 3 — Authentication, Users, Roles, and Access Control"
BWC,SCRUM-S04,E01,Task,"Scrum ceremonies — Sprint 4 — Customer, Prospect, and Beneficiary Management","Sprint Goal: Build the CRM foundation for customers, prospects, and beneficiaries.

Production Gate: Customer data must use validation, pagination, soft delete, and role-based access.

Sprint Review: Demonstrate creating a policyholder customer and linking a grandchild/beneficiary.

Sprint Retrospective: Review whether customer fields are sufficient for segmentation and consent workflows.

Ceremonies: Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective.",Medium,To Do,Agile planning and product documentation,"bwc,solo-scrum,sprint-04,e01,agile-planning,scrum-ceremony","Sprint 4 — Customer, Prospect, and Beneficiary Management"
BWC,SCRUM-S05,E01,Task,"Scrum ceremonies — Sprint 5 — Consent, Opt-Out, Do-Not-Contact, and Eligibility","Sprint Goal: Implement compliance-critical consent logic before campaign features.

Production Gate: Consent, opt-outs, do-not-contact, guardian consent, and eligibility must not be simulated.

Sprint Review: Demonstrate that a customer without valid consent is blocked from marketing eligibility.

Sprint Retrospective: Record whether the eligibility logic is centralized enough to avoid duplicated compliance logic.

Ceremonies: Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective.",Medium,To Do,Agile planning and product documentation,"bwc,solo-scrum,sprint-05,e01,agile-planning,scrum-ceremony","Sprint 5 — Consent, Opt-Out, Do-Not-Contact, and Eligibility"
BWC,SCRUM-S06,E01,Task,"Scrum ceremonies — Sprint 6 — Product, Product Ownership, Product Change Requests, and Payments","Sprint Goal: Implement the product and policy-related data required for campaign targeting and reminders.

Production Gate: Product and ownership data must support product-expiration campaigns and segmentation.

Sprint Review: Demonstrate assigning a product to a customer and setting an expiration date.

Sprint Retrospective: Record whether payment and ownership records are enough for reminders and analytics.

Ceremonies: Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective.",Medium,To Do,Agile planning and product documentation,"bwc,solo-scrum,sprint-06,e01,agile-planning,scrum-ceremony","Sprint 6 — Product, Product Ownership, Product Change Requests, and Payments"
BWC,SCRUM-S07,E01,Task,Scrum ceremonies — Sprint 7 — Segmentation Engine,"Sprint Goal: Build the audience segmentation engine and preview logic.

Production Gate: Segmentation must never return a final campaign audience without eligibility checks.

Sprint Review: Demonstrate a segment for beneficiaries aged 18–35 without homeowner insurance and show eligible/excluded counts.

Sprint Retrospective: Record whether the criteria model is flexible enough for future campaign types.

Ceremonies: Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective.",Medium,To Do,Agile planning and product documentation,"bwc,solo-scrum,sprint-07,e01,agile-planning,scrum-ceremony",Sprint 7 — Segmentation Engine
BWC,SCRUM-S08,E01,Task,Scrum ceremonies — Sprint 8 — Campaign Builder and Campaign Lifecycle,"Sprint Goal: Implement the complete campaign draft, editing, submission, and review workflow.

Production Gate: Submitted campaigns cannot be launched before Compliance Officer approval.

Sprint Review: Demonstrate creating a campaign, submitting it, rejecting it, editing it, resubmitting it, and approving it.

Sprint Retrospective: Record whether campaign workflow is clear enough for non-technical business users.

Ceremonies: Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective.",Medium,To Do,Agile planning and product documentation,"bwc,solo-scrum,sprint-08,e01,agile-planning,scrum-ceremony",Sprint 8 — Campaign Builder and Campaign Lifecycle
BWC,SCRUM-S09,E01,Task,Scrum ceremonies — Sprint 9 — Recipient Preview and Campaign Launch,"Sprint Goal: Implement recipient generation, eligibility enforcement, and campaign launch.

Production Gate: A campaign launch must never bypass consent, opt-out, do-not-contact, duplicate, guardian consent, or approval rules.

Sprint Review: Demonstrate launching only an approved campaign and prove excluded contacts are not contacted.

Sprint Retrospective: Record any rule conflicts and simplify the eligibility logic if needed.

Ceremonies: Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective.",Medium,To Do,Agile planning and product documentation,"bwc,solo-scrum,sprint-09,e01,agile-planning,scrum-ceremony",Sprint 9 — Recipient Preview and Campaign Launch
BWC,SCRUM-S10,E01,Task,Scrum ceremonies — Sprint 10 — Communication Tracking and Provider Adapters,"Sprint Goal: Implement contact events and replaceable communication provider architecture.

Production Gate: Development may use mock email, but production must use a real configured provider or disable sending until configured.

Sprint Review: Demonstrate a launched campaign creating contact events and visible contact history.

Sprint Retrospective: Record what is still needed for real email/SMS provider integration.

Ceremonies: Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective.",Medium,To Do,Agile planning and product documentation,"bwc,solo-scrum,sprint-10,e01,agile-planning,scrum-ceremony",Sprint 10 — Communication Tracking and Provider Adapters
BWC,SCRUM-S11,E01,Task,Scrum ceremonies — Sprint 11 — Follow-Up Tasks and Reminder Scheduling,"Sprint Goal: Implement follow-up workflows, payment reminders, and product-expiration reminders.

Production Gate: Reminder logic must respect consent, payment status, expiration dates, and contact frequency limits.

Sprint Review: Demonstrate Green, Yellow, Red reminder lifecycle and product-expiration reminder generation.

Sprint Retrospective: Record whether reminder rules need configuration through system settings.

Ceremonies: Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective.",Medium,To Do,Agile planning and product documentation,"bwc,solo-scrum,sprint-11,e01,agile-planning,scrum-ceremony",Sprint 11 — Follow-Up Tasks and Reminder Scheduling
BWC,SCRUM-S12,E01,Task,Scrum ceremonies — Sprint 12 — Analytics and Reports,"Sprint Goal: Implement business dashboards, campaign metrics, and report exports.

Production Gate: Executive reports should use aggregated data where possible.

Sprint Review: Demonstrate a campaign analytics dashboard and export a campaign report.

Sprint Retrospective: Record whether metrics are accurate and whether any metric depends on external provider events.

Ceremonies: Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective.",Medium,To Do,Agile planning and product documentation,"bwc,solo-scrum,sprint-12,e01,agile-planning,scrum-ceremony",Sprint 12 — Analytics and Reports
BWC,SCRUM-S13,E01,Task,Scrum ceremonies — Sprint 13 — AI-Assisted Features,"Sprint Goal: Implement AI-assisted decision support without allowing AI to make final legal or marketing decisions.

Production Gate: AI must be decision support only. It must not override compliance approval, consent, opt-out, do-not-contact, or eligibility rules.

Sprint Review: Demonstrate AI recommending a product and explaining why, while requiring human approval before campaign use.

Sprint Retrospective: Record whether the AI feature is useful enough or should remain simple/rule-based.

Ceremonies: Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective.",Medium,To Do,Agile planning and product documentation,"bwc,solo-scrum,sprint-13,e01,agile-planning,scrum-ceremony",Sprint 13 — AI-Assisted Features
BWC,SCRUM-S14,E01,Task,"Scrum ceremonies — Sprint 14 — Audit Logging, Security Hardening, and System Settings","Sprint Goal: Harden the system for production readiness and accountability.

Production Gate: Sensitive actions must be auditable and production must not expose secrets or stack traces.

Sprint Review: Demonstrate audit log entries after role change, consent update, and campaign approval.

Sprint Retrospective: Record security gaps and prioritize them before release candidate.

Ceremonies: Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective.",Medium,To Do,Agile planning and product documentation,"bwc,solo-scrum,sprint-14,e01,agile-planning,scrum-ceremony","Sprint 14 — Audit Logging, Security Hardening, and System Settings"
BWC,SCRUM-S15,E01,Task,Scrum ceremonies — Sprint 15 — Frontend Professionalization and Accessibility,"Sprint Goal: Make the application usable, professional, accessible, and role-aware.

Production Gate: A business user should be able to complete core workflows without developer help.

Sprint Review: Demonstrate login, customer creation, consent update, campaign creation, approval, launch, and analytics from the UI.

Sprint Retrospective: Record UI friction points and fix blocking usability issues.

Ceremonies: Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective.",Medium,To Do,Agile planning and product documentation,"bwc,solo-scrum,sprint-15,e01,agile-planning,scrum-ceremony",Sprint 15 — Frontend Professionalization and Accessibility
BWC,SCRUM-S16,E01,Task,Scrum ceremonies — Sprint 16 — Full Test Suite and Quality Assurance,"Sprint Goal: Verify the system against functional, non-functional, security, business-rule, and production-readiness requirements.

Production Gate: No production release if critical tests fail.

Sprint Review: Demonstrate the test suite and core workflow passing.

Sprint Retrospective: Record quality gaps and decide whether to release or add one hardening sprint.

Ceremonies: Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective.",Medium,To Do,Agile planning and product documentation,"bwc,solo-scrum,sprint-16,e01,agile-planning,scrum-ceremony",Sprint 16 — Full Test Suite and Quality Assurance
BWC,SCRUM-S17,E01,Task,Scrum ceremonies — Sprint 17 — CI/CD and Deployment Automation,"Sprint Goal: Automate build, test, packaging, and deployment preparation.

Production Gate: Main branch must not be releasable unless CI passes.

Sprint Review: Demonstrate a passing CI pipeline from a clean commit.

Sprint Retrospective: Record pipeline speed, reliability, and missing checks.

Ceremonies: Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective.",Medium,To Do,Agile planning and product documentation,"bwc,solo-scrum,sprint-17,e01,agile-planning,scrum-ceremony",Sprint 17 — CI/CD and Deployment Automation
BWC,SCRUM-S18,E01,Task,Scrum ceremonies — Sprint 18 — Production Deployment and Operations,"Sprint Goal: Deploy the system in a production-ready environment with operational safeguards.

Production Gate: Production release is allowed only after smoke tests, backups, security config, and critical workflows pass.

Sprint Review: Demonstrate deployed system, login, customer creation, consent update, campaign creation, approval, launch, and analytics.

Sprint Retrospective: Record deployment risks and post-release improvements.

Ceremonies: Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective.",Medium,To Do,Agile planning and product documentation,"bwc,solo-scrum,sprint-18,e01,agile-planning,scrum-ceremony",Sprint 18 — Production Deployment and Operations
BWC,SCRUM-S19,E01,Task,"Scrum ceremonies — Sprint 19 — Documentation, Demo, and University Report Evidence","Sprint Goal: Prepare the final project evidence, documentation, and university report material.

Production Gate: Documentation must allow another developer or evaluator to understand, run, test, and review the system.

Sprint Review: Demonstrate final report evidence and full demo flow.

Sprint Retrospective: Record lessons learned, Agile process evaluation, and future improvements.

Ceremonies: Sprint Planning, Daily Scrum, Sprint Review, Sprint Retrospective.",Medium,To Do,Agile planning and product documentation,"bwc,solo-scrum,sprint-19,e01,agile-planning,scrum-ceremony","Sprint 19 — Documentation, Demo, and University Report Evidence"
BWC,S1-001,E02,Task,Create GitHub repository,"Detailed sprint backlog item from Sprint 1 — Repository, Tooling, and Architecture Foundation.

Sprint Goal: Create the technical foundation for full-stack development and production deployment.

Task: Create GitHub repository

Production Gate: The repository must be clean, reproducible, and runnable by another developer from documented steps.",Medium,To Do,"Repository, environment, and architecture setup","bwc,solo-scrum,sprint-01,e02,repository-architecture,task","Sprint 1 — Repository, Tooling, and Architecture Foundation"
BWC,S1-002,E02,Task,"Create folder structure: frontend, backend, docs, docker","Detailed sprint backlog item from Sprint 1 — Repository, Tooling, and Architecture Foundation.

Sprint Goal: Create the technical foundation for full-stack development and production deployment.

Task: Create folder structure: frontend, backend, docs, docker

Production Gate: The repository must be clean, reproducible, and runnable by another developer from documented steps.",Medium,To Do,"Repository, environment, and architecture setup","bwc,solo-scrum,sprint-01,e02,repository-architecture,task","Sprint 1 — Repository, Tooling, and Architecture Foundation"
BWC,S1-003,E02,Task,"Add README with project identity, stack, setup plan, and development commands","Detailed sprint backlog item from Sprint 1 — Repository, Tooling, and Architecture Foundation.

Sprint Goal: Create the technical foundation for full-stack development and production deployment.

Task: Add README with project identity, stack, setup plan, and development commands

Production Gate: The repository must be clean, reproducible, and runnable by another developer from documented steps.",Medium,To Do,"Repository, environment, and architecture setup","bwc,solo-scrum,sprint-01,e02,repository-architecture,task","Sprint 1 — Repository, Tooling, and Architecture Foundation"
BWC,S1-004,E02,Task,Add .gitignore,"Detailed sprint backlog item from Sprint 1 — Repository, Tooling, and Architecture Foundation.

Sprint Goal: Create the technical foundation for full-stack development and production deployment.

Task: Add .gitignore

Production Gate: The repository must be clean, reproducible, and runnable by another developer from documented steps.",Medium,To Do,"Repository, environment, and architecture setup","bwc,solo-scrum,sprint-01,e02,repository-architecture,task","Sprint 1 — Repository, Tooling, and Architecture Foundation"
BWC,S1-005,E05,Task,Create React + TypeScript + Vite frontend,"Detailed sprint backlog item from Sprint 1 — Repository, Tooling, and Architecture Foundation.

Sprint Goal: Create the technical foundation for full-stack development and production deployment.

Task: Create React + TypeScript + Vite frontend

Production Gate: The repository must be clean, reproducible, and runnable by another developer from documented steps.",Medium,To Do,Frontend foundation,"bwc,solo-scrum,sprint-01,e05,frontend,task","Sprint 1 — Repository, Tooling, and Architecture Foundation"
BWC,S1-006,E04,Task,Create Spring Boot backend,"Detailed sprint backlog item from Sprint 1 — Repository, Tooling, and Architecture Foundation.

Sprint Goal: Create the technical foundation for full-stack development and production deployment.

Task: Create Spring Boot backend

Production Gate: The repository must be clean, reproducible, and runnable by another developer from documented steps.",Medium,To Do,Backend foundation,"bwc,solo-scrum,sprint-01,e04,backend,task","Sprint 1 — Repository, Tooling, and Architecture Foundation"
BWC,S1-007,E02,Task,Add Docker Compose for PostgreSQL,"Detailed sprint backlog item from Sprint 1 — Repository, Tooling, and Architecture Foundation.

Sprint Goal: Create the technical foundation for full-stack development and production deployment.

Task: Add Docker Compose for PostgreSQL

Production Gate: The repository must be clean, reproducible, and runnable by another developer from documented steps.",Medium,To Do,"Repository, environment, and architecture setup","bwc,solo-scrum,sprint-01,e02,repository-architecture,task","Sprint 1 — Repository, Tooling, and Architecture Foundation"
